"","t2v.t1","sLDA.t1.ranking","nLDA.t1.ranking"
"117","dying","NA","NA"
"118","eat","NA","NA"
"119","saver","NA","NA"
"120","moderate","NA","NA"
"121","sleep","NA","NA"
"122","forever","NA","NA"
"123","max","NA","NA"
"124","limited","58","NA"
"125","periods","NA","NA"
"126","mention","NA","NA"
"127","enough","421","138"
"128","turn","NA","NA"
"129","completely","425","NA"
"130","storage","50","NA"
"131","sufficient","NA","NA"
"132","weight","NA","371"
"133","greatly","NA","NA"
"134","terrible","NA","NA"
"135","hot","NA","NA"
"136","though","69","257"
"137","horrible","NA","NA"
"138","bit","NA","238"
"139","thing","NA","51"
"140","lithium","NA","NA"
"141","space","NA","NA"
"142","good","NA","37"
"143","gets","NA","485"
"144","green","NA","NA"
"145","issue","408","NA"
"146","even","23","62"
"147","recharges","NA","NA"
"148","downside","NA","NA"
"149","although","84","NA"
"150","almost","185","208"
"151","use","7","7"
"152","period","499","NA"
"153","flights","NA","NA"
"154","adequate","NA","NA"
"155","mah","NA","NA"
"156","nearly","320","NA"
"157","discharging","NA","NA"
"158","memory","NA","NA"
"159","die","NA","NA"
"160","outlet","NA","NA"
"161","changeable","NA","NA"
"162","complaint","NA","353"
"163","""excelente","NA","NA"
"164","however","21","298"
"165","turns","NA","NA"
"166","cpu","NA","NA"
"167","becomes","465","NA"
"168","without","46","104"
"169","extra","NA","386"
"170","wifi","172","45"
"171","spectacular","NA","NA"
"172","poor","NA","NA"
"173","sighted","NA","NA"
"174","deal","453","216"
"175","seem","233","NA"
"176","appears","384","NA"
"177","near","493","NA"
"178","tolerable","NA","NA"
"179","intermittent","NA","NA"
"180","phenomenal","NA","NA"
"181","wish","NA","118"
"182","depleted","NA","NA"
"183","much","28","20"
"184","occupy","NA","NA"
"185","extending","NA","NA"
"186","reasonable","NA","NA"
"187","usb","NA","NA"
"188","days","NA","178"
"189","weak","NA","NA"
"190","quite","143","370"
"191","depletes","NA","NA"
"192","single","206","NA"
"193","swappable","NA","NA"
"194","consistently","NA","NA"
"195","gps","NA","NA"
"196","lot","90","75"
"197","affect","NA","NA"
"198","constant","NA","NA"
"199","faster","238","465"
"200","largely","NA","NA"
"201","wasted","NA","NA"
"202","improved","304","NA"
"203","little","NA","48"
"204","horrid","NA","NA"
"205","documentsgo","NA","NA"
"206","noticed","NA","NA"
"207","brick","NA","NA"
"208","connectivity","352","NA"
"209","maybe","NA","470"
"210","turned","NA","NA"
"211","improve","318","NA"
"212","doubles","NA","NA"
"213","far","NA","78"
"214","rather","131","NA"
"215","drawback","NA","NA"
"216","mediocre","NA","NA"
"217","speakers","NA","NA"
"218","also","17","25"
"219","longevity","NA","NA"
"220","suck","NA","NA"
"221","relatively","NA","NA"
"222","ac","NA","NA"
"223","negatives","NA","NA"
"224","sucks","NA","NA"
"225","fairly","NA","NA"
"226","adapter","NA","NA"
"227","shorten","NA","NA"
"228","greater","NA","NA"
"229","died","NA","NA"
"230","stays","NA","NA"
"231","speaker","NA","NA"
"232","running","NA","NA"
"233","hour","NA","NA"
"234","notice","NA","NA"
"235","impressive","NA","NA"
"236","frustration","NA","NA"
"237","sound","NA","286"
"238","otherwise","NA","NA"
"239","test","NA","NA"
"240","bright","NA","422"
"241","impact","NA","NA"
"242","warning","NA","NA"
"243","every","201","114"
"244","quality","272","169"
"245","warm","NA","NA"
"246","used","79","97"
"247","concern","NA","NA"
"248","incredible","NA","NA"
"249","ok","NA","NA"
"250","annoying","NA","NA"
"251","will","6","35"
"252","eight","NA","NA"
"253","generally","388","NA"
"254","gone","NA","NA"
"255","normally","NA","NA"
"256","internal","NA","NA"
"257","necessary","NA","NA"
"258","makes","57","209"
"259","increase","NA","NA"
"260","overall","348","212"
"261","leaves","NA","NA"
"262","keyboard","NA","266"
"263","screen","NA","32"
"264","strength","NA","NA"
"265","probably","177","424"
"266","roughly","NA","NA"
"267","connection","169","469"
"268","strong","NA","NA"
"269","twice","NA","NA"
"270","replacable","NA","NA"
"271","gives","212","NA"
"272","real","147","441"
"273","wall","NA","NA"
"274","end","390","NA"
"275","signal","NA","NA"
"276","somewhat","324","NA"
"277","run","360","NA"
"278","maximize","NA","NA"
"279","hold","NA","291"
"280","say","468","67"
"281","quickbooks","NA","NA"
"282","need","26","50"
"283","maximum","NA","NA"
"284","lose","NA","NA"
"285","continuously","NA","NA"
"286","powered","NA","NA"
"287","fine","NA","429"
"288","respectable","NA","NA"
"289","level","338","NA"
"290","kill","NA","NA"
"291","processing","NA","NA"
"292","superb","NA","NA"
"293","slice","NA","NA"
"294","resolution","466","NA"
"295","10.0768790245056,","NA","NA"
"296","turning","NA","NA"
"297","worse","NA","NA"
"298","atrocious","NA","NA"
"299","tad","NA","NA"
"300","imagine","415","NA"
"301","playback","NA","NA"
"302","per","403","NA"
"303","due","220","NA"
"304","slightly","NA","NA"
"305","useable","NA","NA"
"306","biggest","251","NA"
"307","pack","NA","NA"
"308","docking","NA","NA"
"309","satisfactory","NA","NA"
"310","expected","NA","188"
"311","thus","446","NA"
"312","ran","NA","NA"
"313","connector","NA","NA"
"314","audio","315","NA"
"315","docks","NA","NA"
"316","kills","NA","NA"
"317","bluetooth","NA","NA"
"318","shady","NA","NA"
"319","device","2","70"
"320","fast","NA","63"
"321","believe","359","389"
"322","save","406","NA"
"323","sucking","NA","NA"
"324","problem","NA","195"
"325","eaten","NA","NA"
"326","intolerable","NA","NA"
"327","idle","NA","NA"
"328","descent","NA","NA"
"329","10.5576810836792,","NA","NA"
"330","suffers","NA","NA"
"331","approx","NA","NA"
"332","laptop","107","71"
"333","ports","NA","NA"
"334","shut","NA","NA"
"335","claim","NA","NA"
"336","aggravation","NA","NA"
"337","boost","NA","NA"
"338","span","NA","NA"
"339","point","65","NA"
"340","true","119","NA"
"341","tested","NA","NA"
"342","nothing","NA","391"
"343","awful","NA","NA"
"344","car","NA","377"
"345","glare","NA","394"
"346","optional","NA","NA"
"347","kind","NA","NA"
"348","capsule","NA","NA"
"349","really","NA","22"
"350","may","38","378"
"351","quickly","231","244"
"352","blaming","NA","NA"
"353","realised","NA","NA"
"354","expect","151","417"
"355","around","NA","109"
"356","comes","285","368"
"357","disappointing","NA","NA"
"358","fsb","NA","NA"
"359","runs","NA","NA"
"360","yet","95","161"
"361","considerably","NA","NA"
"362","reception","NA","NA"
"363","restocking","NA","NA"
"364","find","30","134"
"365","cords","NA","NA"
"366","advertised","NA","NA"
"367","ram","NA","NA"
"368","station","NA","NA"
"369","reduced","NA","NA"
"370","external","NA","NA"
"371","isnt","NA","NA"
"372","slow","NA","NA"
"373","cell","NA","439"
"374","critical","NA","NA"
"375","unbelievably","NA","NA"
"376","increased","NA","NA"
"377","wont","NA","NA"
"378","airplane","NA","NA"
"379","sometimes","NA","471"
"380","guess","NA","NA"
"381","socket","NA","NA"
"382","either","104","NA"
"383","mb","NA","NA"
"384","size","166","68"
"385","gigs","NA","NA"
"386","extremely","428","341"
"387","anymore","NA","NA"
"388","port","NA","NA"
"389","improves","NA","NA"
"390","journey","NA","NA"
"391","nonstop","NA","NA"
"392","think","101","57"
"393","yes","139","337"
"394","built","307","NA"
"395","phenominal","NA","NA"
"396","comment","NA","NA"
"397","beyond","420","NA"
"398","netbook","NA","NA"
"399","touchscreen","NA","NA"
"400","discharges","NA","NA"
"401","sure","NA","127"
"402","losing","NA","NA"
"403","come","343","225"
"404","claims","NA","NA"
"405","nowhere","NA","NA"
"406","energy","NA","NA"
"407","now","75","29"
"408","limits","NA","NA"
"409","part","228","NA"
"410","compared","121","464"
"411","amaizing","NA","NA"
"412","whole","NA","347"
"413","minimizes","NA","NA"
"414","bother","NA","NA"
"415","often","170","NA"
"416","using","22","84"
"417","take","175","81"
"418","batt","NA","NA"
"419","awesome","NA","90"
"420","since","70","59"
"421","actually","124","249"
"422","can","5","5"
"423","tablet","NA","18"
"424","desired","NA","NA"
"425","great","NA","4"
"426","just","96","11"
"427","accurate","NA","NA"
"428","pictures"",","NA","NA"
"429","drive","NA","NA"
"430","strain","NA","NA"
"431","camera","149","174"
"432","ridiculous","NA","NA"
"433","barely","NA","NA"
"434","loud","NA","NA"
"435","medium","NA","NA"
"436","dim","NA","NA"
"437","helps","NA","NA"
"438","wake","NA","NA"
"439","10.9678208827972,","NA","NA"
"440","pokey","NA","NA"
"441","possible","216","NA"
"442","approximately","NA","NA"
"443","usable","NA","NA"
"444","leaving","NA","NA"
"445","typically","NA","NA"
"446","amazing","NA","93"
"447","cared","NA","NA"
"448","get","NA","15"
"449","measured","NA","NA"
"450","cable","NA","NA"
"451","louder","NA","NA"
"452","appx","NA","NA"
"453","better","25","76"
"454","gimmicks","NA","NA"
"455","display","227","222"
"456","onboard","NA","NA"
"457","actual","459","NA"
"458","backlight","NA","NA"
"459","monitor","NA","NA"
"460","volume","NA","NA"
"461","gripe","NA","NA"
"462","lower","NA","NA"
"463","squeeze","NA","NA"
"464","solid","NA","NA"
"465","excellent","NA","179"
"466","practice","NA","NA"
"467","complaints","NA","307"
"468","speeds","NA","NA"
"469","lacking","418","NA"
"470","bp","NA","NA"
"471","issues","274","NA"
"472","range","NA","NA"
"473","mass","NA","NA"
"474","ambient","NA","NA"
"475","iconias","NA","NA"
"476","angles","NA","NA"
"477","darn","NA","NA"
"478","close","363","NA"
"479","compartment","NA","NA"
"480","indoor","NA","NA"
"481","especially","135","258"
"482","detects","NA","NA"
"483","fact","183","194"
"484","fiddling","NA","NA"
"485","big","152","140"
"486","processor","NA","NA"
"487","increases","NA","NA"
"488","total","NA","NA"
"489","stand","NA","NA"
"490","headphones","NA","NA"
"491","""battery","NA","NA"
"492","mhz","NA","NA"
"493","significant","NA","NA"
"494","nice","NA","110"
"495","bulk","NA","NA"
"496","prepared","NA","NA"
"497","viewing","407","NA"
"498","experience","16","NA"
"499","saving","NA","NA"
"500","lighter","NA","NA"
