"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"372","fully","extra","fan","choice","personal"
"373","version","clear","specs","hand","large"
"374","dropped","fact","buying","longer","menu"
"375","end","chat","options","tons","websites"
"376","figured","spend","access","tell","built"
"377","helpful","finger","bottom","car","close"
"378","twice","needed","making","may","enjoy"
"379","purchasing","ebooks","smaller","spent","else"
"380","respond","expected","times","everyday","last"
"381","deal","thought","htc","convenient","looks"
"382","look","expensive","try","likes","ones"
"383","firmware","including","holding","older","original"
"384","short","days","seen","excited","background"
"385","sold","type","quick","feature","three"
"386","care","lack","rather","extra","old"
"387","extremely","feel","playing","others","player"
"388","kind","kind","thought","saw","cover"
"389","always","screens","ability","believe","turning"
"390","boot","websites","extremely","happier","updates"
"391","live","radio","else","nothing","given"
"392","stop","ebook","included","eyes","cable"
"393","yesterday","updated","means","along","complaints"
"394","answer","anyone","plan","glare","consider"
"395","sometimes","fix","future","paid","scroll"
"396","via","smooth","read","might","playing"
"397","probably","done","uses","times","due"
"398","sell","preinstalled","touchscreen","fit","news"
"399","matter","program","maybe","college","plus"
"400","password","speaker","similar","member","worth"
"401","prime","ghz","job","daily","important"
"402","solution","useful","highly","finally","left"
"403","updates","galaxy","believe","shopping","move"
"404","plug","button","opinion","ability","best"
"405","updated","perfectly","second","traveling","including"
"406","freezing","last","half","products","second"
"407","supposed","never","including","thrilled","address"
"408","except","close","write","bigger","order"
"409","items","onto","free","mother","minor"
"410","technical","help","designed","original","turned"
"411","ask","solid","plug","trouble","zoom"
"412","giving","paid","huge","looked","multiple"
"413","lenovo","headphones","world","wanting","soon"
"414","third","supported","charger","three","sync"
"415","ready","hope","compare","today","location"
"416","delivered","feature","stand","colors","gets"
"417","ups","away","word","expect","service"
"418","constantly","definitely","phones","figured","functions"
"419","hoping","fairly","win","goes","kind"
"420","love","especially","kind","add","number"
"421","son","instructions","cost","gadget","site"
"422","whole","streaming","higher","bright","brightness"
"423","idea","love","lag","multitouch","credit"
"424","saw","froyo","fantastic","probably","perhaps"
"425","extra","weeks","installed","electronic","room"
"426","acer","default","powerful","stylus","help"
"427","option","unless","fun","huge","definitely"
"428","post","gets","remote","change","extremely"
"429","cant","photos","slightly","fine","minutes"
"430","due","says","change","reason","mode"
"431","rep","called","ipod","live","ever"
"432","amazoncom","added","input","taking","remove"
"433","present","manager","lighter","toy","network"
"434","replaced","save","space","downloads","month"
"435","comes","build","thin","second","regular"
"436","policy","change","black","bad","audio"
"437","packaging","anyway","original","wireless","opinion"
"438","big","angle","month","room","photos"
"439","machine","apk","eee","cell","fingers"
"440","enough","formats","heavier","world","form"
"441","info","vizio","seem","real","onto"
"442","knew","data","accessories","place","purchasing"
"443","quickly","nothing","bigger","ready","based"
"444","checked","based","fit","afford","certain"
"445","difficult","signal","important","except","listen"
"446","ended","rather","laptops","considering","application"
"447","press","standard","larger","high","decent"
"448","gone","sync","start","loving","design"
"449","looks","kids","impressed","choose","surfing"
"450","died","net","let","gotten","low"
"451","units","surf","option","half","mind"
"452","looking","appslib","released","mostly","check"
"453","happens","interface","sometimes","news","words"
"454","outside","basically","pro","forward","sort"
"455","receiving","sensitive","clear","handy","smooth"
"456","restart","launcher","view","large","scrolling"
"457","chance","week","watching","added","box"
"458","adapter","chinese","connection","functions","happy"
"459","impossible","plenty","decent","plan","someone"
"460","ordering","amazing","mini","early","wait"
"461","waited","always","mind","plenty","biggest"
"462","mail","move","reading","ones","black"
"463","yes","mind","screens","plays","high"
"464","known","soon","working","compared","sensitive"
"465","liked","except","notice","faster","touchscreen"
"466","crap","half","along","generation","choose"
"467","local","large","computers","says","format"
"468","connecting","figure","landscape","xmas","pictures"
"469","none","due","release","connection","faster"
"470","research","charger","dual","maybe","link"
"471","beware","honeycomb","simple","sometimes","factor"
"472","didnt","option","technology","recently","compare"
"473","mistake","show","users","tech","downloading"
"474","wish","manual","finger","compact","mostly"
"475","dollars","compared","docking","recommended","guess"
"476","emails","response","media","type","press"
"477","inside","cell","slow","worked","font"
"478","advertised","annoying","mine","help","seconds"
"479","advice","decided","program","lol","support"
"480","rma","supports","tried","capabilities","calendar"
"481","simply","super","ice","takes","days"
"482","electronics","year","absolutely","dollars","true"
"483","stated","getjar","comfortable","expecting","online"
"484","began","fully","longer","cheap","wrong"
"485","december","shows","tell","gets","glare"
"486","expected","wish","cream","mainly","instant"
"487","guy","cant","speaker","wow","bar"
"488","locked","calendar","microsd","opened","loaded"
"489","questions","preloaded","main","yesterday","completely"
"490","upon","remote","prefer","load","expectations"
"491","birthday","biggest","super","listening","hoping"
"492","calls","difficult","problems","seen","offer"
"493","learned","functionality","documents","pocket","value"
"494","sitting","value","old","larger","backlit"
"495","sucks","maps","replacement","waited","goes"
"496","registered","functions","skype","working","select"
"497","frustrated","note","money","heard","security"
"498","running","heavy","whole","line","accounts"
"499","resolved","smoothly","ago","refurbished","file"
"500","showed","cool","gaming","making","bigger"
